symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_price,pnl_pips
EURUSD,BUY,2025-01-01T23:45:00+00:00,1.035145,2025-01-01T23:50:00+00:00,1.035150,exit,0.000005,0.05
EURUSD,SELL,2025-01-02T03:00:00+00:00,1.037150,2025-01-02T03:05:00+00:00,1.037185,sl,-0.000035,-0.35
EURUSD,SELL,2025-01-02T03:10:00+00:00,1.037150,2025-01-02T03:15:00+00:00,1.036955,exit,0.000195,1.95
EURUSD,BUY,2025-01-02T04:45:00+00:00,1.036910,2025-01-02T04:50:00+00:00,1.036950,exit,0.000040,0.40
EURUSD,SELL,2025-01-02T07:35:00+00:00,1.036620,2025-01-02T07:40:00+00:00,1.036830,exit,-0.000210,-2.10
EURUSD,SELL,2025-01-02T07:55:00+00:00,1.036280,2025-01-02T08:10:00+00:00,1.035810,exit,0.000470,4.70
EURUSD,BUY,2025-01-02T08:30:00+00:00,1.035550,2025-01-02T08:35:00+00:00,1.035590,exit,0.000040,0.40
EURUSD,BUY,2025-01-02T11:05:00+00:00,1.032835,2025-01-02T11:10:00+00:00,1.033100,exit,0.000265,2.65
EURUSD,BUY,2025-01-02T13:05:00+00:00,1.032075,2025-01-02T13:10:00+00:00,1.031765,exit,-0.000310,-3.10
EURUSD,BUY,2025-01-02T13:55:00+00:00,1.031350,2025-01-02T14:00:00+00:00,1.031150,sl,-0.000200,-2.00
EURUSD,BUY,2025-01-02T14:10:00+00:00,1.031080,2025-01-02T14:15:00+00:00,1.031235,exit,0.000155,1.55
EURUSD,BUY,2025-01-02T15:35:00+00:00,1.029230,2025-01-02T15:40:00+00:00,1.029200,exit,-0.000030,-0.30
EURUSD,BUY,2025-01-02T16:15:00+00:00,1.026195,2025-01-02T16:20:00+00:00,1.025545,exit,-0.000650,-6.50
EURUSD,BUY,2025-01-02T18:55:00+00:00,1.025640,2025-01-02T19:00:00+00:00,1.025580,sl,-0.000060,-0.60
EURUSD,BUY,2025-01-02T19:20:00+00:00,1.025355,2025-01-02T19:25:00+00:00,1.025705,exit,0.000350,3.50
EURUSD,SELL,2025-01-03T01:00:00+00:00,1.027045,2025-01-03T01:05:00+00:00,1.027170,exit,-0.000125,-1.25
EURUSD,SELL,2025-01-03T02:55:00+00:00,1.027235,2025-01-03T03:00:00+00:00,1.027230,exit,0.000005,0.05
EURUSD,SELL,2025-01-03T09:35:00+00:00,1.029340,2025-01-03T09:40:00+00:00,1.028975,exit,0.000365,3.65
EURUSD,BUY,2025-01-04T11:15:00+00:00,1.030830,2025-01-04T11:20:00+00:00,1.030830,sl,0.000000,0.00
EURUSD,SELL,2025-01-04T11:35:00+00:00,1.030830,2025-01-04T11:40:00+00:00,1.030830,sl,-0.000000,-0.00
EURUSD,BUY,2025-01-05T22:20:00+00:00,1.030635,2025-01-05T22:25:00+00:00,1.030605,exit,-0.000030,-0.30
EURUSD,BUY,2025-01-05T23:00:00+00:00,1.030425,2025-01-05T23:05:00+00:00,1.030410,exit,-0.000015,-0.15
EURUSD,BUY,2025-01-06T00:40:00+00:00,1.029700,2025-01-06T00:45:00+00:00,1.029780,exit,0.000080,0.80
EURUSD,SELL,2025-01-06T01:20:00+00:00,1.030705,2025-01-06T01:25:00+00:00,1.030710,exit,-0.000005,-0.05
EURUSD,SELL,2025-01-06T02:00:00+00:00,1.031155,2025-01-06T02:05:00+00:00,1.031370,sl,-0.000215,-2.15
EURUSD,SELL,2025-01-06T02:15:00+00:00,1.031645,2025-01-06T02:20:00+00:00,1.031365,exit,0.000280,2.80
EURUSD,SELL,2025-01-06T08:20:00+00:00,1.033525,2025-01-06T08:25:00+00:00,1.034035,exit,-0.000510,-5.10
EURUSD,SELL,2025-01-06T08:30:00+00:00,1.033720,2025-01-06T08:35:00+00:00,1.033740,exit,-0.000020,-0.20
EURUSD,SELL,2025-01-06T09:25:00+00:00,1.035835,2025-01-06T09:30:00+00:00,1.035525,exit,0.000310,3.10
EURUSD,BUY,2025-01-06T11:00:00+00:00,1.033975,2025-01-06T11:10:00+00:00,1.037865,exit,0.003890,38.90
EURUSD,SELL,2025-01-06T11:45:00+00:00,1.041100,2025-01-06T11:50:00+00:00,1.041950,exit,-0.000850,-8.50
EURUSD,SELL,2025-01-06T13:30:00+00:00,1.042245,2025-01-06T13:35:00+00:00,1.041780,exit,0.000465,4.65
EURUSD,BUY,2025-01-06T14:25:00+00:00,1.038145,2025-01-06T14:30:00+00:00,1.037475,exit,-0.000670,-6.70
EURUSD,BUY,2025-01-06T14:35:00+00:00,1.037600,2025-01-06T14:40:00+00:00,1.036905,exit,-0.000695,-6.95
EURUSD,BUY,2025-01-06T23:35:00+00:00,1.038575,2025-01-06T23:40:00+00:00,1.038540,exit,-0.000035,-0.35
EURUSD,BUY,2025-01-07T00:30:00+00:00,1.037950,2025-01-07T00:35:00+00:00,1.037920,exit,-0.000030,-0.30
EURUSD,BUY,2025-01-07T01:45:00+00:00,1.037915,2025-01-07T01:55:00+00:00,1.038125,exit,0.000210,2.10
EURUSD,SELL,2025-01-07T04:00:00+00:00,1.039160,2025-01-07T04:05:00+00:00,1.039080,exit,0.000080,0.80
EURUSD,SELL,2025-01-07T05:55:00+00:00,1.039680,2025-01-07T06:00:00+00:00,1.039920,exit,-0.000240,-2.40
EURUSD,SELL,2025-01-07T06:10:00+00:00,1.040195,2025-01-07T06:15:00+00:00,1.040245,exit,-0.000050,-0.50
EURUSD,SELL,2025-01-07T07:45:00+00:00,1.041250,2025-01-07T07:50:00+00:00,1.041095,exit,0.000155,1.55
EURUSD,SELL,2025-01-07T09:10:00+00:00,1.042640,2025-01-07T09:15:00+00:00,1.042570,exit,0.000070,0.70
