symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_price,pnl_pips
EURUSD,BUY,2025-01-01T23:45:00+00:00,1.035170,2025-01-01T23:50:00+00:00,1.035120,exit,-0.000050,-0.50
EURUSD,SELL,2025-01-02T03:00:00+00:00,1.037130,2025-01-02T03:05:00+00:00,1.037185,sl,-0.000055,-0.55
EURUSD,SELL,2025-01-02T03:10:00+00:00,1.037130,2025-01-02T03:15:00+00:00,1.036970,exit,0.000160,1.60
EURUSD,BUY,2025-01-02T04:45:00+00:00,1.036930,2025-01-02T04:50:00+00:00,1.036930,exit,0.000000,0.00
EURUSD,SELL,2025-01-02T07:35:00+00:00,1.036610,2025-01-02T07:40:00+00:00,1.036850,exit,-0.000240,-2.40
EURUSD,SELL,2025-01-02T07:55:00+00:00,1.036270,2025-01-02T08:10:00+00:00,1.035830,exit,0.000440,4.40
EURUSD,BUY,2025-01-02T08:30:00+00:00,1.035570,2025-01-02T08:35:00+00:00,1.035580,exit,0.000010,0.10
EURUSD,BUY,2025-01-02T11:05:00+00:00,1.032850,2025-01-02T11:10:00+00:00,1.033090,exit,0.000240,2.40
EURUSD,BUY,2025-01-02T13:05:00+00:00,1.032080,2025-01-02T13:10:00+00:00,1.031750,exit,-0.000330,-3.30
EURUSD,BUY,2025-01-02T13:55:00+00:00,1.031370,2025-01-02T14:00:00+00:00,1.031150,sl,-0.000220,-2.20
EURUSD,BUY,2025-01-02T14:10:00+00:00,1.031100,2025-01-02T14:15:00+00:00,1.031220,exit,0.000120,1.20
EURUSD,BUY,2025-01-02T15:35:00+00:00,1.029250,2025-01-02T15:40:00+00:00,1.029180,exit,-0.000070,-0.70
EURUSD,BUY,2025-01-02T16:15:00+00:00,1.026210,2025-01-02T16:20:00+00:00,1.025530,exit,-0.000680,-6.80
EURUSD,BUY,2025-01-02T18:55:00+00:00,1.025650,2025-01-02T19:00:00+00:00,1.025580,sl,-0.000070,-0.70
EURUSD,BUY,2025-01-02T19:20:00+00:00,1.025370,2025-01-02T19:25:00+00:00,1.025690,exit,0.000320,3.20
EURUSD,SELL,2025-01-03T01:00:00+00:00,1.027030,2025-01-03T01:05:00+00:00,1.027190,exit,-0.000160,-1.60
EURUSD,SELL,2025-01-03T02:55:00+00:00,1.027220,2025-01-03T03:00:00+00:00,1.027240,exit,-0.000020,-0.20
EURUSD,SELL,2025-01-03T09:35:00+00:00,1.029320,2025-01-03T09:40:00+00:00,1.028990,exit,0.000330,3.30
EURUSD,BUY,2025-01-04T11:15:00+00:00,1.031000,2025-01-04T11:20:00+00:00,1.030830,sl,-0.000170,-1.70
EURUSD,SELL,2025-01-04T11:35:00+00:00,1.030660,2025-01-04T11:40:00+00:00,1.030830,sl,-0.000170,-1.70
EURUSD,BUY,2025-01-05T22:20:00+00:00,1.030810,2025-01-05T22:25:00+00:00,1.030470,exit,-0.000340,-3.40
EURUSD,BUY,2025-01-05T23:00:00+00:00,1.030450,2025-01-05T23:05:00+00:00,1.030390,exit,-0.000060,-0.60
EURUSD,BUY,2025-01-06T00:40:00+00:00,1.029710,2025-01-06T00:45:00+00:00,1.029770,exit,0.000060,0.60
EURUSD,SELL,2025-01-06T01:20:00+00:00,1.030690,2025-01-06T01:25:00+00:00,1.030720,exit,-0.000030,-0.30
EURUSD,SELL,2025-01-06T02:00:00+00:00,1.031140,2025-01-06T02:05:00+00:00,1.031370,sl,-0.000230,-2.30
EURUSD,SELL,2025-01-06T02:15:00+00:00,1.031630,2025-01-06T02:20:00+00:00,1.031380,exit,0.000250,2.50
EURUSD,SELL,2025-01-06T08:20:00+00:00,1.033520,2025-01-06T08:25:00+00:00,1.034050,exit,-0.000530,-5.30
EURUSD,SELL,2025-01-06T08:30:00+00:00,1.033710,2025-01-06T08:35:00+00:00,1.033760,exit,-0.000050,-0.50
EURUSD,SELL,2025-01-06T09:25:00+00:00,1.035820,2025-01-06T09:30:00+00:00,1.035540,exit,0.000280,2.80
EURUSD,BUY,2025-01-06T11:00:00+00:00,1.034000,2025-01-06T11:10:00+00:00,1.037850,exit,0.003850,38.50
EURUSD,SELL,2025-01-06T11:45:00+00:00,1.041080,2025-01-06T11:50:00+00:00,1.041970,exit,-0.000890,-8.90
EURUSD,SELL,2025-01-06T13:30:00+00:00,1.042230,2025-01-06T13:35:00+00:00,1.041790,exit,0.000440,4.40
EURUSD,BUY,2025-01-06T14:25:00+00:00,1.038160,2025-01-06T14:30:00+00:00,1.037460,exit,-0.000700,-7.00
EURUSD,BUY,2025-01-06T14:35:00+00:00,1.037610,2025-01-06T14:40:00+00:00,1.036870,exit,-0.000740,-7.40
EURUSD,BUY,2025-01-06T23:35:00+00:00,1.038600,2025-01-06T23:40:00+00:00,1.038520,exit,-0.000080,-0.80
EURUSD,BUY,2025-01-07T00:30:00+00:00,1.037960,2025-01-07T00:35:00+00:00,1.037900,exit,-0.000060,-0.60
EURUSD,BUY,2025-01-07T01:45:00+00:00,1.037930,2025-01-07T01:55:00+00:00,1.038110,exit,0.000180,1.80
EURUSD,SELL,2025-01-07T04:00:00+00:00,1.039150,2025-01-07T04:05:00+00:00,1.039090,exit,0.000060,0.60
EURUSD,SELL,2025-01-07T05:55:00+00:00,1.039670,2025-01-07T06:00:00+00:00,1.039930,exit,-0.000260,-2.60
EURUSD,SELL,2025-01-07T06:10:00+00:00,1.040180,2025-01-07T06:15:00+00:00,1.040250,exit,-0.000070,-0.70
EURUSD,SELL,2025-01-07T07:45:00+00:00,1.041230,2025-01-07T07:50:00+00:00,1.041110,exit,0.000120,1.20
EURUSD,SELL,2025-01-07T09:10:00+00:00,1.042630,2025-01-07T09:15:00+00:00,1.042580,exit,0.000050,0.50
EURUSD,BUY,2025-01-07T12:45:00+00:00,1.039730,2025-01-07T12:50:00+00:00,1.039040,sl,-0.000690,-6.90
EURUSD,BUY,2025-01-07T13:00:00+00:00,1.039330,2025-01-07T13:05:00+00:00,1.039330,exit,0.000000,0.00
EURUSD,BUY,2025-01-07T15:15:00+00:00,1.037320,2025-01-07T15:20:00+00:00,1.037370,exit,0.000050,0.50
EURUSD,BUY,2025-01-07T15:45:00+00:00,1.036410,2025-01-07T15:50:00+00:00,1.036870,exit,0.000460,4.60
EURUSD,BUY,2025-01-07T20:45:00+00:00,1.034650,2025-01-07T20:50:00+00:00,1.034495,sl,-0.000155,-1.55
EURUSD,BUY,2025-01-07T21:00:00+00:00,1.034420,2025-01-07T21:05:00+00:00,1.034405,sl,-0.000015,-0.15
EURUSD,BUY,2025-01-07T21:10:00+00:00,1.034300,2025-01-07T21:15:00+00:00,1.034150,exit,-0.000150,-1.50
EURUSD,BUY,2025-01-07T23:15:00+00:00,1.034130,2025-01-07T23:25:00+00:00,1.034220,exit,0.000090,0.90
EURUSD,BUY,2025-01-08T07:20:00+00:00,1.034680,2025-01-08T07:25:00+00:00,1.034450,exit,-0.000230,-2.30
EURUSD,BUY,2025-01-08T07:35:00+00:00,1.034270,2025-01-08T07:40:00+00:00,1.033985,sl,-0.000285,-2.85
EURUSD,BUY,2025-01-08T08:10:00+00:00,1.033080,2025-01-08T08:15:00+00:00,1.033810,exit,0.000730,7.30
EURUSD,BUY,2025-01-08T08:50:00+00:00,1.032340,2025-01-08T08:55:00+00:00,1.031885,sl,-0.000455,-4.55
EURUSD,BUY,2025-01-08T09:00:00+00:00,1.032310,2025-01-08T09:05:00+00:00,1.032490,exit,0.000180,1.80
EURUSD,BUY,2025-01-08T10:10:00+00:00,1.031440,2025-01-08T10:15:00+00:00,1.031300,exit,-0.000140,-1.40
EURUSD,BUY,2025-01-08T10:25:00+00:00,1.031510,2025-01-08T10:30:00+00:00,1.031520,exit,0.000010,0.10
EURUSD,BUY,2025-01-08T11:45:00+00:00,1.029460,2025-01-08T11:50:00+00:00,1.029330,exit,-0.000130,-1.30
EURUSD,SELL,2025-01-08T13:25:00+00:00,1.029550,2025-01-08T13:30:00+00:00,1.029190,exit,0.000360,3.60
EURUSD,SELL,2025-01-08T19:30:00+00:00,1.031710,2025-01-08T19:35:00+00:00,1.031320,exit,0.000390,3.90
EURUSD,BUY,2025-01-09T00:40:00+00:00,1.030860,2025-01-09T00:45:00+00:00,1.030860,exit,0.000000,0.00
EURUSD,BUY,2025-01-09T04:20:00+00:00,1.030860,2025-01-09T04:25:00+00:00,1.030950,exit,0.000090,0.90
EURUSD,BUY,2025-01-09T06:20:00+00:00,1.030270,2025-01-09T06:25:00+00:00,1.030120,exit,-0.000150,-1.50
EURUSD,BUY,2025-01-09T06:30:00+00:00,1.030430,2025-01-09T06:35:00+00:00,1.030470,exit,0.000040,0.40
EURUSD,BUY,2025-01-09T07:50:00+00:00,1.029610,2025-01-09T07:55:00+00:00,1.029315,sl,-0.000295,-2.95
EURUSD,BUY,2025-01-09T08:05:00+00:00,1.029250,2025-01-09T08:10:00+00:00,1.029410,exit,0.000160,1.60
EURUSD,SELL,2025-01-09T09:20:00+00:00,1.031020,2025-01-09T09:25:00+00:00,1.031360,exit,-0.000340,-3.40
EURUSD,SELL,2025-01-09T09:30:00+00:00,1.031380,2025-01-09T09:35:00+00:00,1.031270,exit,0.000110,1.10
EURUSD,SELL,2025-01-09T13:45:00+00:00,1.031230,2025-01-09T13:50:00+00:00,1.031020,exit,0.000210,2.10
EURUSD,BUY,2025-01-09T16:05:00+00:00,1.029680,2025-01-09T16:10:00+00:00,1.029830,exit,0.000150,1.50
EURUSD,BUY,2025-01-09T16:35:00+00:00,1.029690,2025-01-09T16:45:00+00:00,1.030020,exit,0.000330,3.30
EURUSD,BUY,2025-01-10T04:50:00+00:00,1.029640,2025-01-10T04:55:00+00:00,1.029500,exit,-0.000140,-1.40
EURUSD,BUY,2025-01-10T05:40:00+00:00,1.029290,2025-01-10T05:45:00+00:00,1.029025,sl,-0.000265,-2.65
EURUSD,BUY,2025-01-10T06:25:00+00:00,1.028500,2025-01-10T06:30:00+00:00,1.028560,exit,0.000060,0.60
EURUSD,SELL,2025-01-10T08:00:00+00:00,1.029460,2025-01-10T08:05:00+00:00,1.029550,exit,-0.000090,-0.90
EURUSD,SELL,2025-01-10T08:15:00+00:00,1.029710,2025-01-10T08:20:00+00:00,1.029835,sl,-0.000125,-1.25
EURUSD,SELL,2025-01-10T08:45:00+00:00,1.030330,2025-01-10T08:50:00+00:00,1.030120,exit,0.000210,2.10
EURUSD,BUY,2025-01-10T13:50:00+00:00,1.025940,2025-01-10T13:55:00+00:00,1.025630,exit,-0.000310,-3.10
EURUSD,BUY,2025-01-10T16:30:00+00:00,1.023400,2025-01-10T16:35:00+00:00,1.022970,exit,-0.000430,-4.30
EURUSD,BUY,2025-01-12T22:30:00+00:00,1.024330,2025-01-12T22:35:00+00:00,1.024220,exit,-0.000110,-1.10
EURUSD,SELL,2025-01-12T23:00:00+00:00,1.024330,2025-01-12T23:05:00+00:00,1.024050,exit,0.000280,2.80
EURUSD,BUY,2025-01-12T23:10:00+00:00,1.024270,2025-01-12T23:20:00+00:00,1.024430,exit,0.000160,1.60
EURUSD,BUY,2025-01-13T00:40:00+00:00,1.024050,2025-01-13T00:45:00+00:00,1.023875,sl,-0.000175,-1.75
EURUSD,BUY,2025-01-13T00:50:00+00:00,1.024160,2025-01-13T01:00:00+00:00,1.024450,exit,0.000290,2.90
